"","type","cor.PERMA_A1_1","cor.PERMA_A2_1","cor.PERMA_A3_1","cor.PERMA_E1_1","cor.PERMA_E2_1","cor.PERMA_E3_1","cor.PERMA_P1_1","cor.PERMA_P2","cor.PERMA_P3_1","cor.PERMA_R1_1","cor.PERMA_R2_1","cor.PERMA_R3_1","cor.PERMA_M1_1","cor.PERMA_M2_1","cor.PERMA_M3_1","cor.PERMA_N1_1","cor.PERMA_N2_1","cor.PERMA_N3_1","cor.PERMA_Hea1_1","cor.PERMA_Hea2_1","cor.PERMA_Hea3_1","cor.PERMA_Lone_1","cor.PERMA_HPY_1","mean"
"PERMA_A1_1","cor.bollen",0,0.0155953901775222,-0.018290002905794,-0.0187606233008668,0.0282476143882824,-0.107764517389003,-0.0514344175349342,-0.0151746297993399,0.0791273890445601,0.0294122607732404,-0.0192017108373785,0.0116398302115026,0.00475029741326527,0.0269507381191878,0.0251761804435255,0.0282921261496261,-0.038960936749655,-0.0329701135146105,-0.0581064755337487,-0.02796905121002,-0.0713424236167565,-0.00757438313624799,0.0107779386582405,-4.75636298791215e-07
"PERMA_A2_1","cor.bollen",0.0155953901775222,0,-0.000162007972310196,0.0105629706298183,-0.012795130521312,-0.0761143480604946,-0.0475632482870811,-0.00953330737224356,0.0644019142910763,0.0121926293563816,-0.0314287307248858,0.014163615422823,-0.0836128862463824,-0.0186090291034807,0.0232625777331913,0.0460998389445796,0.00879092979920671,0.0620701825819486,0.0353696238403335,0.0665162909334246,0.0392225172983498,0.0114316598405557,-0.0495154138941802,-8.99494013051338e-07
"PERMA_A3_1","cor.bollen",-0.018290002905794,-0.000162007972310085,0,0.0482693210911548,0.0479319827527152,-0.0011074393562045,0.0270101805683036,0.0347170479881005,0.0383232024338623,0.00537235148614973,-0.0362590495581513,0.038460623547917,-0.135099688110059,-0.0336649150458237,0.0584422149469783,-0.00590806124806444,-0.0350330265457537,-0.0379185431191709,0.00874894802940224,-0.0741761570537748,0.0518500613767153,0.000229485009593064,0.0388916708670358,-3.21461131491674e-07
"PERMA_E1_1","cor.bollen",-0.0187606233008667,0.0105629706298183,0.0482693210911548,0,-0.0338274301596941,0.105711102580155,-0.0504465061638918,-0.043796660944954,0.0284857762467438,0.0259558813074039,-0.0185396868553249,0.0130892199170636,-0.038840834822202,-0.0718406203492722,-0.0381620583280681,0.0707499527061019,0.0180009180891296,0.0488059234087568,-0.0533204503274519,-0.0866756209968846,-0.0717646348721325,0.0855569914660675,-0.0388417097724499,-5.73200453324318e-07
"PERMA_E2_1","cor.bollen",0.0282476143882823,-0.0127951305213121,0.0479319827527152,-0.0338274301596942,0,-0.00752659839556657,0.0256298007917356,0.0371010215116071,0.00593945279914254,0.0308809044914121,-0.023080367090537,-0.00723016189490955,0.0247151953435492,0.0608684745510292,0.0241291166822608,0.00205800100370816,-0.0120570209281482,-0.100670242146772,-0.0012442603782899,0.0257962355599489,-0.00327922483450921,-0.0752690735019703,0.0322318738830819,-7.10160142247673e-07
"PERMA_E3_1","cor.bollen",-0.107764517389003,-0.0761143480604947,-0.00110743935620455,0.105711102580155,-0.00752659839556646,0,-0.0159611412206156,-0.00783238765551064,-0.0191979883808079,0.00345702315900159,-0.00998586011121394,0.0211996947747137,-0.0416506147932856,-0.033165743440019,-0.05926973039931,0.0614830296487621,0.0406772889344763,-0.00640667174335764,0.00913973002844781,0.0948543149615918,0.0293970996009612,0.0475693056890409,-0.0161688838994044,-9.38030852992711e-07
"PERMA_P1_1","cor.bollen",-0.0514344175349341,-0.0475632482870811,0.0270101805683036,-0.0504465061638919,0.0256298007917356,-0.0159611412206156,0,0.0384086101385296,-0.0302680722231052,-0.0545683552894697,0.00938342204861475,0.0511391190384504,-0.0196793728285712,0.00240697934705325,-0.129350292800891,0.0308879055658412,-0.0364059547374897,-0.0726477336895764,0.0708221592767874,-0.0702709247626204,-0.0434187586668399,-0.00356913153693134,0.0024517882092312,-8.22842181058547e-07
"PERMA_P2","cor.bollen",-0.0151746297993399,-0.00953330737224356,0.0347170479881006,-0.0437966609449539,0.037101021511607,-0.0078323876555107,0.0384086101385296,0,-0.0524471591196265,0.0292217142418452,-0.0446550942417077,-0.0490238570978469,0.0358451502300628,0.0603699352117947,-0.0799250805702226,0.0346303270465501,0.0265624853926583,-0.0394817573986062,-0.00754799657706073,-0.0677036232700267,-0.0768611361441949,0.00294984911984145,0.00133921806148074,-7.92578654262854e-07
"PERMA_P3_1","cor.bollen",0.0791273890445601,0.0644019142910763,0.0383232024338623,0.0284857762467437,0.00593945279914254,-0.0191979883808079,-0.0302680722231051,-0.0524471591196266,0,0.0424845904371466,0.0436659368446725,0.0685299266650828,-0.0171797662778361,0.0119057854267065,0.025217137927771,0.0277019072025962,0.0195607006958028,0.0906874308007711,-0.00123904586300272,-0.00689467222793766,-0.00483768827128728,0.000123307558205027,-0.00820270741786799,-7.1577792493116e-07
"PERMA_R1_1","cor.bollen",0.0294122607732404,0.0121926293563816,0.00537235148614973,0.0259558813074039,0.0308809044914121,0.00345702315900159,-0.0545683552894697,0.0292217142418452,0.0424845904371465,0,0.010822221833178,-0.0579674668648021,0.00970011665130999,-0.0624203090994346,-0.0156909586547321,0.0442579965138758,0.00320405553767645,0.0687027934482724,-0.00638341149364802,0.00854907336569583,-0.0328583430405436,0.0463340420603774,-0.00337931221423526,-2.63021963320398e-07
