"","type","cor.PERMA_A1_1","cor.PERMA_A2_1","cor.PERMA_A3_1","cor.PERMA_E1_1","cor.PERMA_E2_1","cor.PERMA_E3_1","cor.PERMA_P1_1","cor.PERMA_P2","cor.PERMA_P3_1","cor.PERMA_R1_1","cor.PERMA_R2_1","cor.PERMA_R3_1","cor.PERMA_M1_1","cor.PERMA_M2_1","cor.PERMA_M3_1","cor.PERMA_N1_1","cor.PERMA_N2_1","cor.PERMA_N3_1","cor.PERMA_Hea1_1","cor.PERMA_Hea2_1","cor.PERMA_Hea3_1","cor.PERMA_Lone_1","cor.PERMA_HPY_1","mean"
"PERMA_A1_1","cor.bollen",0,0.0342633462896931,-0.0474192806630465,0.0150795872053874,-0.00379203000234829,-0.0904381290263203,-0.0668089980951909,-0.0512216246077797,0.104597638447219,0.0108574254250058,-0.0570334605518193,0.000139075601517158,0.00577559071911604,0.0123222242850888,0.0380106469365037,0.0763031162476117,-0.0443923127944435,-0.0409941053713999,-0.0483279411391331,-0.0148110069445845,-0.0681573793827878,-0.0475308947750993,-0.00784243909045457,-2.90683236769951e-06
"PERMA_A2_1","cor.bollen",0.0342633462896931,0,-0.0136385810749128,0.0654622079765212,-0.0491858233710923,-0.0769497279793189,-0.0294821942366473,0.000695746189396274,0.139393182273011,0.0782424634954566,-0.0308387813025992,0.00822208378255207,-0.0407654475833007,-0.0206780188253979,0.0287688438644309,0.091779501671528,-0.0501455671100902,0.0204715521992929,0.0353369687703492,0.049655448598744,0.0172884695283673,0.0356536961160641,-0.0191963211594569,-5.80657775639537e-07
"PERMA_A3_1","cor.bollen",-0.0474192806630465,-0.0136385810749127,0,0.0809248578157966,0.064562699047776,0.0705949551956536,0.0725935927456535,0.067973821275649,0.129464344854015,-0.00289998634677441,-0.017399442007434,0.0599130317939506,-0.0835933653677257,-0.000515351695356658,0.0684438263460125,0.0546731229839335,-0.0145765556491019,-0.0449968362194625,0.0504121746041708,-0.0216380720878691,0.0695761807775517,0.0282398402652566,0.0485295888936041,-2.76484908745545e-07
"PERMA_E1_1","cor.bollen",0.0150795872053875,0.0654622079765212,0.0809248578157965,0,-0.00248082199640309,0.0654653269112696,-0.0621279888003844,-0.0612644189102481,0.0570136166226208,0.0309115756298796,-0.0243597092959623,-0.0386165271374264,-0.0240364320109091,-0.0362656291555977,0.0133994484945418,0.186082840249684,0.0770753109034461,0.0550437541821492,-0.0242581572297478,-0.053429044155805,-0.0571434134709331,0.114370008472971,-0.0444556536278697,7.22838876310306e-07
"PERMA_E2_1","cor.bollen",-0.00379203000234829,-0.0491858233710922,0.064562699047776,-0.00248082199640298,0,-0.0226986306783783,-0.00202425452111055,0.0308367992106423,0.0301858179454053,0.0497899198264125,-0.065779340013471,0.0201068700743726,-0.00207510893499996,0.02432255872164,-0.00795939407082846,0.120529642122856,-0.0184380232126899,-0.0996447679222496,0.0214751614353502,0.0189681322037805,-0.0109743953768493,-0.063933526781698,0.00250894245469102,5.63090396532573e-07
"PERMA_E3_1","cor.bollen",-0.0904381290263204,-0.076949727979319,0.0705949551956535,0.0654653269112697,-0.0226986306783784,0,0.00676909780797308,0.0101740016498967,0.0116114165418758,0.0404631369726648,0.0698575387212704,-0.00634761171091924,0.00995303806910874,-0.010281607717408,0.00418478669185163,0.0543944806992073,0.0204228122032378,-0.118187759543929,0.0319948567376882,0.0900904344439361,0.0382173125559726,0.066967211297224,0.058995167136436,-5.591257092874e-07
"PERMA_P1_1","cor.bollen",-0.0668089980951909,-0.0294821942366473,0.0725935927456537,-0.0621279888003845,-0.00202425452111055,0.00676909780797308,0,0.0224520593654663,-0.0475184888844152,-0.0159891195828004,-0.0115252942499069,0.0347807263404826,-0.00769722756542279,0.00355359469832162,-0.0921079050420612,0.0805443871218064,0.00564832309372641,-0.0738544291701444,0.0647898501490998,-0.0275954527908104,-0.0255780447366032,-0.00776204745588767,-0.00517843043938504,5.98871577217608e-07
"PERMA_P2","cor.bollen",-0.0512216246077797,0.000695746189396385,0.0679738212756488,-0.0612644189102483,0.0308367992106423,0.0101740016498968,0.0224520593654663,0,-0.0531796893670206,0.00928024019436546,-0.0288690150078503,-0.00356596140716792,0.0257744336737519,0.0373404487263724,-0.0591003166240309,0.0984593089787318,0.0139773727822315,-0.0882922205962327,0.0222070134930058,-0.0123703846021859,-0.0380653072899705,-0.0129439688072993,-0.00459555712379756,1.38622342049644e-07
"PERMA_P3_1","cor.bollen",0.104597638447219,0.139393182273011,0.129464344854015,0.0570136166226208,0.0301858179454053,0.0116114165418759,-0.0475184888844152,-0.0531796893670207,0,0.0578016323891333,-0.0184244166963713,0.0937674899277877,0.0147806605431967,0.0487412652310778,0.0856213981656806,0.173827480904391,0.107012924477226,0.182430009286416,0.0287273451604776,0.0263514459139018,0.0297224077394307,0.0983132626381029,0.0445804104207248,2.61800809031598e-07
"PERMA_R1_1","cor.bollen",0.0108574254250059,0.0782424634954566,-0.00289998634677435,0.0309115756298797,0.0497899198264125,0.0404631369726647,-0.0159891195828002,0.00928024019436535,0.0578016323891332,0,0.0470624053577717,-0.0923332545738533,0.0357040130192525,-0.017250896630808,0.00815662293169639,0.0739715399346445,0.00383186722728376,0.0248656174229126,0.0262179443273561,0.0382224914880855,-0.017703902521552,0.0731728889231025,0.00190592210026019,1.13380640076599e-06
"PERMA_R2_1","cor.bollen",-0.0570334605518195,-0.0308387813025992,-0.017399442007434,-0.0243597092959622,-0.0657793400134709,0.0698575387212704,-0.0115252942499069,-0.0288690150078503,-0.0184244166963714,0.0470624053577716,0,0.0280032464399105,0.0346594745104454,-0.0448716070063467,-0.0112666315647123,0.096559353890869,0.00630780836286555,-0.0475890306185362,-0.0130607242178163,0.045175095895214,-0.0238028986118641,-0.0254483517934635,-0.0351068476859558,7.99011163898911e-07
"PERMA_R3_1","cor.bollen",0.000139075601517158,0.00822208378255218,0.0599130317939506,-0.0386165271374264,0.0201068700743726,-0.00634761171091919,0.0347807263404826,-0.00356596140716792,0.0937674899277878,-0.0923332545738533,0.0280032464399105,0,0.0340316727612574,0.0106488971694207,-0.0175428172517298,0.0603989103520479,0.00986242456645825,-0.089289165490015,-0.0240283802402098,0.0413631660483891,0.00865120507601214,-0.0347082803798229,0.0394431907618209,1.14762624026099e-06
"PERMA_M1_1","cor.bollen",0.00577559071911604,-0.0407654475833007,-0.0835933653677257,-0.0240364320109091,-0.00207510893499985,0.00995303806910885,-0.00769722756542268,0.0257744336737519,0.0147806605431967,0.0357040130192527,0.0346594745104454,0.0340316727612574,0,0.00330239252989373,0.00746254003105173,0.0616715174592104,-0.0577304410025468,-0.088301912386526,0.0363170224119702,0.0461636226867042,-0.00603516995181308,-0.0186662142265492,0.0303631361170936,2.84802251115934e-07
